year,population,births,deaths,net_migration
2010,3721525,42130,29283,-53776
2011,3679461,41033,29910,-54324
2012,3636205,38897,29826,-52381
2013,3589468,36484,29114,-57533
2014,3534091,34422,30047,-64967
2015,3472858,30991,28108,-64757
2016,3411561,28405,28353,-60773
2017,3352108,27241,28637,-56789
2018,3295244,26219,28958,-52804
2019,3241261,25707,29310,-48821
2020,3190410,25256,29697,-44837
2021,3142779,24830,29961,-40852
2022,3098423,24394,30255,-36869
2023,3057311,23965,30574,-32884
2024,3019450,23585,30915,-28901
2025,2984841,23214,31285,-24916
2026,2951840,22912,31574,-24353
2027,2918745,22667,31761,-24079
2028,2885475,22376,31939,-23805
2029,2852010,22070,32103,-23529
2030,2818318,21698,32269,-23251
2031,2784361,21297,32418,-22971
2032,2750148,20902,32547,-22689
2033,2715698,20483,32645,-22404
2034,2681036,20074,32714,-22119
2035,2646152,19604,32781,-21830
2036,2611038,19132,32814,-21541
2037,2575743,18696,32813,-21250
2038,2540333,18275,32770,-20958
2039,2504864,17871,32693,-20665
2040,2469336,17418,32614,-20372
2041,2434253,16987,32506,-19079
2042,2400156,16601,32376,-17821
2043,2367074,16249,32218,-16599
2044,2335016,15907,32044,-15411
2045,2303946,15559,31895,-14256
2046,2273845,15251,31730,-13132
2047,2244743,14978,31533,-12037
2048,2216677,14745,31311,-10972
2049,2189665,14533,31083,-9936
2050,2163684,14347,30899,-8925