yearq,population, births, deaths, net_migration
1/1/2010, 3752871,106957187,-13150
4/1/2010, 3742537,106427231,-13247
7/1/2010, 3732089,105877276,-13345
10/1/2010,3721525,105337321,-13444
1/1/2011, 3710962,104787366,-13543
4/1/2011, 3700613,104187408,-13615
7/1/2011, 3690118,103477446,-13637
10/1/2011,3679461,102587478,-13581
1/1/2012, 3668740,101487499,-13437
4/1/2012, 3658050,100207507,-13262
7/1/2012, 3647253,9878,7494,-13125
10/1/2012,3636205,9724,7457,-13095
1/1/2013, 3624982,9565,7393,-13229
4/1/2013, 3613725,9409,7326,-13505
7/1/2013, 3601935,9259,7279,-13899
10/1/2013,3589468,9121,7279,-14383
1/1/2014, 3576353,9000,7340,-14918
4/1/2014, 3562930,8886,7428,-15437
7/1/2014, 3548826,8760,7501,-15898
10/1/2014,3534091,8606,7512,-16242
1/1/2015, 3518956,8412,7431,-16417
4/1/2015, 3503875,8198,7293,-16443
7/1/2015, 3488469,7970,7143,-16357
10/1/2015,3472858,7748,7027,-16189
1/1/2016, 3457315,7546,6983,-15972
4/1/2016, 3442030,7372,6996,-15725
7/1/2016, 3426834,7223,7039,-15462
10/1/2016,3411561,7101,7088,-15193
1/1/2017, 3396384,7007,7121,-14934
4/1/2017, 3381648,6935,7139,-14688
7/1/2017, 3366881,6872,7149,-14444
10/1/2017,3352108,6810,7159,-14197
1/1/2018, 3337512,6743,7175,-13948
4/1/2018, 3323406,6676,7194,-13703
7/1/2018, 3309315,6611,7216,-13453
10/1/2018,3295244,6555,7240,-13201
1/1/2019, 3281350,6511,7262,-12949
4/1/2019, 3267937,6479,7283,-12704
7/1/2019, 3254568,6452,7304,-12456
10/1/2019,3241261,6427,7328,-12205
1/1/2020, 3228172,6400,7352,-11955
4/1/2020, 3215434,6372,7378,-11708
7/1/2020, 3202895,6343,7402,-11460
10/1/2020,3190410,6314,7424,-11209
1/1/2021, 3178112,6286,7443,-10958
4/1/2021, 3166267,6260,7459,-10712
7/1/2021, 3154484,6234,7475,-10464
10/1/2021,3142779,6208,7490,-10213
1/1/2022, 3131288,6181,7507,-9963
4/1/2022, 3120251,6154,7525,-9718
7/1/2022, 3109295,6126,7544,-9470
10/1/2022,3098423,6099,7564,-9217
1/1/2023, 3087754,6071,7584,-8963
4/1/2023, 3077514,6044,7603,-8715
7/1/2023, 3067364,6017,7623,-8467
10/1/2023,3057311,5991,7644,-8221
1/1/2024, 3047472,5967,7664,-7980
4/1/2024, 3037952,5943,7685,-7741
7/1/2024, 3028644,5920,7706,-7493
10/1/2024,3019450,5896,7729,-7225
1/1/2025, 3010470,5872,7752,-6939
4/1/2025, 3001871,5849,7775,-6663
7/1/2025, 2993335,5826,7799,-6416
10/1/2025,2984841,5804,7821,-6229
1/1/2026, 2976453,5782,7842,-6125
4/1/2026, 2968317,5763,7861,-6085
7/1/2026, 2960124,5745,7878,-6082
10/1/2026,2951840,5728,7894,-6088
1/1/2027, 2943526,5712,7907,-6083
4/1/2027, 2935367,5698,7918,-6067
7/1/2027, 2927103,5683,7929,-6044
10/1/2027,2918745,5667,7940,-6020
1/1/2028, 2910392,5650,7951,-5999
4/1/2028, 2902129,5631,7963,-5982
7/1/2028, 2893856,5613,7974,-5967
10/1/2028,2885475,5594,7985,-5951
1/1/2029, 2877069,5575,7995,-5935
4/1/2029, 2868824,5557,8005,-5918
7/1/2029, 2860470,5538,8015,-5900
10/1/2029,2852010,5518,8026,-5882
1/1/2030, 2843540,5496,8036,-5865
4/1/2030, 2835241,5473,8047,-5847
7/1/2030, 2826835,5449,8057,-5830
10/1/2030,2818318,5425,8067,-5813
1/1/2031, 2809780,5399,8077,-5795
4/1/2031, 2801411,5374,8086,-5778
7/1/2031, 2792936,5349,8096,-5760
10/1/2031,2784361,5324,8105,-5743
1/1/2032, 2775781,5300,8113,-5725
4/1/2032, 2767286,5275,8121,-5708
7/1/2032, 2758775,5251,8129,-5690
10/1/2032,2750148,5226,8137,-5672
1/1/2033, 2741495,5199,8144,-5654
4/1/2033, 2733007,5173,8150,-5637
7/1/2033, 2724406,5147,8156,-5619
10/1/2033,2715698,5121,8161,-5601
1/1/2034, 2706980,5095,8166,-5583
4/1/2034, 2698441,5071,8170,-5566
7/1/2034, 2689794,5045,8174,-5548
10/1/2034,2681036,5019,8179,-5530
1/1/2035, 2672261,4990,8183,-5512
4/1/2035, 2663662,4961,8187,-5494
7/1/2035, 2654958,4932,8192,-5476
10/1/2035,2646152,4901,8195,-5458
1/1/2036, 2637343,4871,8198,-5439
4/1/2036, 2628622,4841,8201,-5421
7/1/2036, 2619887,4812,8202,-5404
10/1/2036,2611038,4783,8204,-5385
1/1/2037, 2602166,4755,8204,-5367
4/1/2037, 2593467,4728,8205,-5349
7/1/2037, 2584658,4701,8204,-5331
10/1/2037,2575743,4674,8203,-5313
1/1/2038, 2566824,4647,8202,-5295
4/1/2038, 2558095,4621,8199,-5278
7/1/2038, 2549265,4595,8196,-5259
10/1/2038,2540333,4569,8193,-5240
1/1/2039, 2531397,4544,8188,-5218
4/1/2039, 2522651,4519,8183,-5198
7/1/2039, 2513806,4494,8178,-5180
10/1/2039,2504864,4468,8173,-5166
1/1/2040, 2495924,4440,8168,-5159
4/1/2040, 2487085,4412,8164,-5150
7/1/2040, 2478254,4383,8159,-5131
10/1/2040,2469336,4355,8154,-5093
1/1/2041, 2460434,4326,8147,-5030
4/1/2041, 2451754,4299,8141,-4951
7/1/2041, 2443022,4273,8134,-4861
10/1/2041,2434253,4247,8127,-4770
1/1/2042, 2425557,4221,8119,-4684
4/1/2042, 2417119,4197,8111,-4606
7/1/2042, 2408653,4174,8103,-4531
10/1/2042,2400156,4150,8094,-4455
1/1/2043, 2391719,4127,8085,-4379
4/1/2043, 2383526,4106,8075,-4303
7/1/2043, 2375309,4084,8065,-4227
10/1/2043,2367074,4062,8055,-4150
1/1/2044, 2358917,4041,8043,-4074
4/1/2044, 2350918,4020,8032,-4000
7/1/2044, 2342982,3999,8022,-3926
10/1/2044,2335016,3977,8011,-3853
1/1/2045, 2327102,3955,8001,-3779
4/1/2045, 2319411,3933,7992,-3708
7/1/2045, 2311690,3911,7983,-3636
10/1/2045,2303946,3890,7974,-3564
1/1/2046, 2296266,3869,7964,-3492
4/1/2046, 2288814,3850,7954,-3423
7/1/2046, 2281341,3831,7944,-3353
10/1/2046,2273845,3813,7933,-3283
1/1/2047, 2266410,3795,7921,-3213
4/1/2047, 2259199,3778,7909,-3146
7/1/2047, 2251974,3761,7896,-3077
10/1/2047,2244743,3745,7883,-3009
1/1/2048, 2237588,3729,7870,-2942
4/1/2048, 2230581,3714,7856,-2875
7/1/2048, 2223638,3700,7842,-2809
10/1/2048,2216677,3686,7828,-2743
1/1/2049, 2209771,3672,7813,-2677
4/1/2049, 2203073,3659,7799,-2613
7/1/2049, 2196368,3646,7784,-2549
10/1/2049,2189665,3633,7771,-2484
1/1/2050, 2183043,3621,7758,-2420
4/1/2050, 2176626,3609,7747,-2357
7/1/2050, 2170180,3598,7736,-2295
10/1/2050,2163684,3587,7725,-2231