Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,4.7,4.8,4.8,4.4,4.4,4.7,4.3,3.8,4.0,3.4,2.7,2.3,1.9,2.1,1.8,1.7,1.6,1.5,1.3,1.3
Agosto,4.7,4.8,4.7,4.4,4.3,4.7,4.2,3.7,4.0,3.4,2.7,2.3,1.9,2.1,1.8,1.7,1.6,1.5,1.4,
Septiembre,4.7,4.8,4.7,4.4,4.4,4.7,4.2,3.7,4.0,3.3,2.7,2.3,2.0,2.2,1.9,1.8,1.6,1.5,1.4,
Octubre,4.7,4.7,4.5,4.4,4.8,4.6,4.0,3.8,3.7,3.3,2.6,2.3,2.0,2.0,1.8,1.7,1.6,1.4,1.3,
Noviembre,4.7,4.8,4.5,4.3,4.7,4.5,4.0,3.8,3.7,3.2,2.5,2.2,2.0,2.0,1.9,1.7,1.6,1.4,1.3,
Diciembre,4.8,4.8,4.5,4.4,5.1,4.7,4.4,3.8,3.9,3.3,2.6,2.3,2.2,2.0,2.0,1.9,1.7,1.5,1.4,
Enero,4.8,4.7,4.5,4.3,4.6,4.2,3.9,3.7,3.7,2.9,2.4,1.9,2.0,1.9,1.8,1.6,1.5,1.3,1.3,
Febrero,4.9,4.8,4.5,4.4,4.7,4.3,4.1,3.8,3.7,2.9,2.3,2.0,2.0,1.9,1.8,1.7,1.5,1.3,1.3,
Marzo,5.0,4.7,4.4,4.5,4.8,4.3,4.1,3.8,3.6,2.8,2.3,2.0,2.1,2.0,1.8,1.7,1.5,1.4,1.3,
Abril,5.0,4.9,4.4,4.6,4.9,4.3,4.0,4.0,3.5,2.8,2.4,2.0,2.1,1.9,1.7,1.6,1.4,1.3,1.3,
Mayo,5.0,4.8,4.4,4.6,4.9,4.3,4.0,4.1,3.7,2.7,2.4,2.0,2.1,1.8,1.7,1.7,1.5,1.4,1.3,
Junio,5.0,4.8,4.4,4.6,4.9,4.3,4.0,3.9,3.6,2.7,2.3,2.0,2.2,1.9,1.8,1.7,1.5,1.4,1.3,