Meses,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$154,337","$209,498","$213,656","$238,961","$183,940","$283,058","$282,775","$273,060","$298,670"
Agosto,"$190,771","$212,881","$239,514","$238,711","$207,449","$246,641","$282,680","$293,694","$288,330"
Septiembre,"$177,833","$203,145","$167,307","$222,012","$199,955","$248,023","$258,689","$252,169","$300,821"
Octubre,"$180,926","$199,268","$113,150","$229,221","$211,859","$243,291","$261,028","$244,265","$294,191"
Noviembre,"$191,468","$211,013","$161,120","$238,729","$199,371","$242,536","$274,796","$273,224","$275,998"
Diciembre,"$215,434","$221,348","$231,336","$225,829","$244,204","$265,209","$307,226","$309,262","$329,446"
Enero,"$247,173","$261,062","$226,480","$261,197","$242,445","$253,801","$305,318","$359,733","$355,224"
Febrero,"$196,191","$203,415","$214,365","$235,072","$183,186","$240,344","$242,981","$268,999","$279,538"
Marzo,"$199,326","$197,817","$222,222","$212,875","$156,929","$247,363","$259,575","$282,860","$292,570"
Abril,"$207,873","$199,825","$236,834","$227,622","$103,217","$274,025","$280,333","$299,063","$309,592"
Mayo,"$201,195","$199,096","$245,287","$241,562","$114,036","$278,148","$287,972","$277,288",
Junio,"$214,313","$219,399","$250,945","$233,711","$133,483","$297,531","$295,031","$316,978",