Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,0,0,0,1,2,1,2,4,2,4,2,3,4,1,3,0,0,1,0,1,1,1
Agosto,2,0,0,3,0,2,1,0,4,2,7,2,2,5,3,3,4,0,0,1,3,0
Septiembre,0,0,0,1,1,0,1,2,1,7,3,2,1,1,1,0,1,1,0,0,0,1
Octubre,2,0,0,4,0,0,1,0,6,2,3,3,1,1,3,0,2,3,2,0,0,0
Noviembre,0,1,0,0,0,3,1,1,4,5,1,3,1,1,1,0,2,1,0,0,0,0
Diciembre,0,5,2,3,0,3,2,0,2,2,2,2,1,0,0,1,5,2,0,0,2,0
Enero,1,0,0,1,0,4,0,0,5,7,2,0,3,4,1,1,3,0,2,1,1,1
Febrero,1,0,0,0,0,1,1,1,5,4,3,2,2,2,0,1,0,0,0,0,1,2
Marzo,2,0,0,2,2,2,2,1,2,1,1,2,0,1,3,0,1,1,0,2,0,1
Abril,0,0,2,0,0,3,3,2,2,1,1,3,0,0,1,0,2,0,0,0,0,4
Mayo,2,0,0,0,1,2,2,3,0,2,0,0,1,3,3,0,0,1,1,1,0,1
Junio,1,0,1,2,2,0,1,1,5,2,1,5,1,4,1,1,1,0,0,1,0,0