Meses,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"39,251","65,418","84,094","87,106","101,454","104,044","134,274","115,740",0,0,"52,188","62,689"
Agosto,"35,291","61,489","91,369","77,784","109,276","114,186","127,327","124,464",0,"12,847","58,038","56,864"
Septiembre,"27,849","54,148","78,666","63,995","74,004","16,978","102,502","92,647",0,"10,276","19,594","43,811"
Octubre,"36,066","56,715","67,906","87,160","87,149","12,172","133,991","129,852",0,"16,380","51,836","56,529"
Noviembre,"96,599","123,870","148,217","138,487","143,718","44,229","173,660","146,528",0,"50,846","104,258","122,435"
Diciembre,"151,995","160,118","203,305","166,354","168,493","149,979","199,271","231,235",0,"68,487","170,219","154,568"
Enero,"161,641","156,143","189,486","165,927","179,324","162,843","209,974","220,149",0,"17,453","184,238","222,213"
Febrero,"127,724","122,827","159,670","134,933","149,946","120,557","164,652","196,573",0,"34,333","146,819","159,473"
Marzo,"145,209","145,516","177,272","141,896","122,757","133,660","172,447","73,454",0,"70,888","192,759","168,175"
Abril,"114,288","114,226","139,360","102,276","143,862","134,432","151,710",0,0,"65,557","136,674","131,009"
Mayo,"46,247","74,359","84,982","64,634","95,139","112,063","117,869",0,0,"22,048","93,289","94,998"
Junio,"55,864","78,230","85,460","96,859","101,061","134,903","127,825",0,0,"45,185","49,228","79,424"