Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"12,394","13,943","13,237","12,461","12,041","6,470","7,016","3,004","10,211","6,747","7,363"
Agosto,"10,984","12,080","9,468","9,005","9,991","5,898","6,211","2,781","6,698","5,989","5,876"
Septiembre,"8,433","8,328","7,869","6,808","2,897","4,916","4,432","3,245","4,694","3,322","4,226"
Octubre,"8,682","9,082","9,490","7,414","2,728","5,076","4,396","3,846","5,361","3,574","4,530"
Noviembre,"10,118","11,667","10,572","8,776","2,535","6,507","6,395","4,352","6,718","5,251","6,607"
Diciembre,"14,068","9,700","13,992","10,063","3,624","7,199","8,509","4,546","9,164","5,882","8,126"
Enero,"15,031","14,451","14,406","13,584","3,991","7,978","8,983","4,954","7,976","7,671","9,338"
Febrero,"14,281","14,358","14,430","12,020","5,007","8,002","8,599","5,547","8,584","6,082","10,001"
Marzo,"16,755","16,875","16,108","15,689","7,345","9,649","5,354","7,950","10,684","8,436","10,764"
Abril,"15,108","22,183","12,597","12,914","6,181","7,337",815,"7,662","9,028","7,261",
Mayo,"12,905","12,356","10,077","10,176","5,887","7,222","1,154","8,164","7,920","6,695",
Junio,"11,963","11,356","9,835","10,415","5,897","6,138","1,572","7,806","7,082","6,116",